movie_name,release_year,director,age_difference,actor_1_name,actor_1_gender,actor_1_birthdate,actor_1_age,actor_2_name,actor_2_gender,actor_2_birthdate,actor_2_age,same_sex
Fools Rush In,1997,Andy Tennant,-3,Matthew Perry,man,1969-08-19,28,Salma Hayek,woman,1966-09-02,31,FALSE
Forgetting Sarah Marshall,2008,Nicholas Stoller,3,Jason Segel,man,1980-01-18,28,Mila Kunis,woman,1983-08-14,25,FALSE
Gigli,2003,Martin Brest,-3,Ben Affleck,man,1972-08-15,31,Jennifer Lopez,woman,1969-07-24,34,FALSE
Hacksaw Ridge,2016,Mel Gibson,3,Andrew Garfield,man,1983-08-20,33,Teresa Palmer,woman,1986-02-26,30,FALSE
He's Just Not That Into You,2009,Ken Kwapis,-3,Ben Affleck,man,1972-08-15,37,Jennifer Aniston,woman,1969-02-11,40,FALSE
I Know What You Did Last Summer,1997,Jim Gillespie,3,Ryan Phillippe,man,1974-09-10,23,Sarah Michelle Gellar,woman,1977-04-14,20,FALSE
I Know What You Did Last Summer,1997,Jim Gillespie,3,Freddie Prinze Jr.,man,1976-03-08,21,Jennifer Love Hewitt,woman,1979-02-21,18,FALSE
Idle Hands,1999,Rodman Flender,3,Devon Sawa,man,1978-09-07,21,Jessica Alba,woman,1981-04-28,18,FALSE
Imagine Me & You,2005,Ol Parker,3,Lena Headey,woman,1973-10-03,32,Piper Perabo,woman,1976-10-31,29,TRUE
Independence Day: Resurgence,2016,Roland Emmerich,3,Liam Hemsworth,man,1990-01-13,26,Maika Monroe,woman,1993-05-29,23,FALSE
Inferno,2016,Ron Howard,3,Ben Foster,man,1980-10-29,36,Felicity Jones,woman,1983-10-17,33,FALSE
Inventing the Abbotts,1997,Pat O'Connor,3,Joaquin Phoenix,man,1974-10-28,23,Liv Tyler,woman,1977-07-01,20,FALSE
Invincible,2006,Ericson Core,3,Mark Wahlberg,man,1971-06-05,35,Elizabeth Banks,woman,1974-02-10,32,FALSE
